keys,es,en,it,fr,de,pt
ui.settings.restore_purchases,Restaurar compras,Restore purchases,Ripristina acquisti,Restaurer les achats,Käufe wiederherstellen,Restaurar compras
ui.settings.community.rate,Valorar la app,Rate the app,Valuta l'app,Noter l'app,App bewerten,Avaliar o app
ui.settings.community.share,Compartir,Share,Condividi,Partager,Teilen,Compartilhar
ui.settings.community.social,Redes sociales,Social media,Social media,Réseaux sociaux,Soziale Medien,Redes sociais
ui.settings.community.website,Sitio web,Website,Sito web,Site web,Webseite,Site
ui.settings.legal.privacy,Política de privacidad,Privacy policy,Privacy policy,Politique de confidentialité,Datenschutz,Política de privacidade
ui.settings.legal.terms,Condiciones del servicio,Terms of service,Termini di servizio,Conditions d'utilisation,AGB,Termos de serviço
ui.gameplay.shots_remaining,Disparos,Shots,Colpi,Tirs,Schüsse,Tiros
ui.gameplay.score,Puntuación,Score,Punteggio,Score,Punkte,Pontuação
ui.gameplay.combo,Combo,Combo,Combo,Combo,Combo,Combo
ui.gameplay.hint.hold_to_aim,Mantén presionado para apuntar,Hold to aim,Tieni premuto per mirare,Maintiens appuyé pour viser,Halte gedrückt zum Zielen,Mantenha pressionado para mirar
ui.gameplay.hint.release_to_shoot,Suelta para disparar,Release to shoot,Rilascia per sparare,Relâche pour tirer,Loslassen zum Schießen,Solte para atirar
ui.gameplay.objective.clear_all,Limpiar todas las burbujas,Clear all bubbles,Elimina tutte le bolle,Éliminer toutes les bulles,Alle Blasen entfernen,Limpar todas as bolhas
ui.gameplay.objective.rescue,Rescatar a {creature},Rescue {creature},Salva {creature},Sauver {creature},Rette {creature},Resgatar {creature}
ui.gameplay.level_label,Nivel {id} — {name},Level {id} — {name},Livello {id} — {name},Niveau {id} — {name},Level {id} — {name},Nível {id} — {name}
ui.gameplay.level_label_with_best,Nivel {id} — {name} · Mejor: {best},Level {id} — {name} · Best: {best},Livello {id} — {name} · Miglior: {best},Niveau {id} — {name} · Meilleur : {best},Level {id} — {name} · Beste: {best},Nível {id} — {name} · Melhor: {best}
ui.victory.subtitle.new_record,¡Nuevo récord! Puntuación: {score} (anterior: {best}),New record! Score: {score} (previous: {best}),Nuovo record! Punteggio: {score} (precedente: {best}),Nouveau record ! Score : {score} (précédent : {best}),Neuer Rekord! Punkte: {score} (vorher: {best}),Novo recorde! Pontuação: {score} (anterior: {best})
ui.victory.subtitle.score,Puntuación: {score} (mejor: {best}),Score: {score} (best: {best}),Punteggio: {score} (miglior: {best}),Score : {score} (meilleur : {best}),Punkte: {score} (beste: {best}),Pontuação: {score} (melhor: {best})
ui.button.next_level,Siguiente nivel →,Next level →,Prossimo livello →,Niveau suivant →,Nächstes Level →,Próximo nível →
ui.victory.title,¡Lo lograste!,You did it!,Ce l'hai fatta!,Bien joué !,Geschafft!,Você conseguiu!
ui.victory.level_banner,Nivel {id},Level {id},Livello {id},Niveau {id},Level {id},Nível {id}
ui.victory.complete,¡Completado!,Complete!,Completato!,Terminé !,Abgeschlossen!,Completo!
ui.victory.creature_rescued,Criatura rescatada,Creature rescued,Creatura salvata,Créature sauvée,Kreatur gerettet,Criatura resgatada
ui.victory.continue,Continuar,Continue,Continua,Continuer,Weiter,Continuar
ui.claim.panel.title,¡Listo!,Success!,Fatto!,Réussi !,Erfolgreich!,Sucesso!
ui.failed.panel.title,Nivel fallido,Level failed,Livello fallito,Niveau échoué,Level fehlgeschlagen,Nível falhou
ui.failed.panel.body.title,¡Oh no!,Oh no!,Oh no!,Oh non !,Oh nein!,Ah não!
ui.failed.panel.body.description,No completaste el nivel,You didn't complete the level,Non hai completato il livello,Tu n'as pas terminé le niveau,Du hast das Level nicht abgeschlossen,Você não completou o nível
ui.failed.panel.body.tryButton,Intentar de nuevo,Try again,Riprova,Réessayer,Erneut versuchen,Tentar novamente
ui.outofshots.panel.title,Sin más disparos,No more shots,Nessun colpo rimasto,Plus de tirs,Keine Schüsse mehr,Sem mais tiros
ui.outofshots.panel.body.title,¡Ups!,Oops!,Ops!,Oups !,Hoppla!,Ops!
ui.outofshots.panel.body.description,Te quedaste sin disparos.,You've run out of shots.,Hai esaurito i colpi.,Tu n'as plus de tirs.,Du hast keine Schüsse mehr.,Você ficou sem tiros.
ui.outofshots.panel.body.suggestion,¡Consigue {shots} disparos más y sigue jugando!,Get {shots} more shots and keep playing!,Ottieni {shots} colpi in più e continua a giocare!,Obtiens {shots} tirs en plus et continue à jouer !,Hol dir {shots} weitere Schüsse und spiel weiter!,Consiga mais {shots} tiros e continue jogando!
ui.outoflives.panel.title,Sin vidas,Out of lives,Vite esaurite,Plus de vies,Keine Leben mehr,Sem vidas
ui.outoflives.panel.body.title,¡Uy!,Uh oh!,Uh oh!,Oh là là !,Oh oh!,Ui!
ui.outoflives.panel.body.description,¡Te quedaste sin vidas!,You are out of lives!,Sei rimasto senza vite!,Tu n'as plus de vies !,Du hast keine Leben mehr!,Você ficou sem vidas!
ui.outoflives.panel.body.suggestion,Recarga vidas o espera para continuar.,Refill lives or wait to continue.,Ricarica le vite o aspetta per continuare.,Recharge des vies ou attends pour continuer.,Fülle Leben auf oder warte um fortzufahren.,Recarregue vidas ou espere para continuar.
ui.outoflives.panel.body.refillButton,Recargar vidas,Refill lives,Ricarica vite,Recharger des vies,Leben auffüllen,Recarregar vidas
ui.paused.panel.title,Pausa,Paused,In pausa,En pause,Pausiert,Pausado
ui.paused.panel.body.question,¿Qué quieres hacer?,What would you like to do?,Cosa vuoi fare?,Que veux-tu faire ?,Was möchtest du tun?,O que você gostaria de fazer?
ui.paused.panel.body.resumeButton,Reanudar,Resume,Riprendi,Reprendre,Fortsetzen,Continuar
ui.paused.panel.body.restartButton,Reiniciar,Restart,Ricomincia,Recommencer,Neu starten,Reiniciar
ui.paused.panel.body.settingsButton,Ajustes,Settings,Impostazioni,Paramètres,Einstellungen,Ajustes
ui.quitlevel.panel.title,Salir del nivel,Quit Level,Esci dal livello,Quitter le niveau,Level verlassen,Sair do nível
ui.quitlevel.panel.body.question,¿Seguro que quieres salir del nivel?,Are you sure you want to quit the level?,Sei sicuro di voler uscire dal livello?,Tu es sûr de vouloir quitter le niveau ?,Willst du das Level wirklich verlassen?,Tem certeza que quer sair do nível?
ui.refilllives.panel.title,Recargar vidas,Refill lives,Ricarica vite,Recharger des vies,Leben auffüllen,Recarregar vidas
ui.resetlevel.panel.title,Reiniciar nivel,Reset Level,Reimposta livello,Réinitialiser le niveau,Level zurücksetzen,Reiniciar nível
ui.resetlevel.panel.body.question,¿Seguro que quieres reiniciar el nivel?,Are you sure you want to reset the level?,Sei sicuro di voler reimpostare il livello?,Tu es sûr de vouloir réinitialiser le niveau ?,Willst du das Level wirklich zurücksetzen?,Tem certeza que quer reiniciar o nível?
ui.resetlevel.panel.body.warning,Esta acción no se puede deshacer.,This action cannot be undone.,Questa azione non può essere annullata.,Cette action est irréversible.,Diese Aktion kann nicht rückgängig gemacht werden.,Essa ação não pode ser desfeita.
ui.startgame.panel.select_boosters,Elegir boosters,Select boosters,Scegli i booster,Choisir des boosters,Booster auswählen,Escolher boosters
ui.daily.title,Recompensa diaria,Daily reward,Ricompensa giornaliera,Récompense quotidienne,Tägliche Belohnung,Recompensa diária
ui.daily.day,Día {n} de 7,Day {n} of 7,Giorno {n} di 7,Jour {n} sur 7,Tag {n} von 7,Dia {n} de 7
ui.daily.next_in,Próximo regalo en,Next gift in,Prossimo regalo tra,Prochain cadeau dans,Nächstes Geschenk in,Próximo presente em
ui.battlepass.title,Pase de Batalla,Battle Pass,Pass Battaglia,Pass de Combat,Battle Pass,Passe de Batalha
ui.battlepass.season,Temporada {n},Season {n},Stagione {n},Saison {n},Saison {n},Temporada {n}
ui.battlepass.tier,Nivel {n},Tier {n},Livello {n},Palier {n},Stufe {n},Nível {n}
ui.battlepass.buy_premium,Comprar Premium,Buy Premium,Acquista Premium,Acheter Premium,Premium kaufen,Comprar Premium
ui.battlepass.days_left,{days} días restantes,{days} days left,{days} giorni rimanenti,{days} jours restants,{days} Tage übrig,{days} dias restantes
splash.tagline,Juegos para todos los días,Games for every day,Giochi per ogni giorno,Des jeux pour chaque jour,Spiele für jeden Tag,Jogos para todos os dias
splash.loading,Cargando...,Loading...,Caricamento...,Chargement...,Lädt...,Carregando...
splash.error,Error al cargar — toca para reintentar,Loading error — tap to retry,Errore — tocca per riprovare,Erreur — touchez pour réessayer,Fehler — zum Erneutversuchen tippen,Erro — toque para tentar novamente
ui.sanctuary.play,JUGAR,PLAY,GIOCA,JOUER,SPIELEN,JOGAR
ui.sanctuary.creatures_rescued,{n} criaturas rescatadas,{n} creatures rescued,{n} creature salvate,{n} créatures sauvées,{n} Kreaturen gerettet,{n} criaturas resgatadas
ui.sanctuary.streak,{n} días de racha 🔥,{n} day streak 🔥,{n} giorni di serie 🔥,{n} jours de série 🔥,{n} Tage Serie 🔥,{n} dias de sequência 🔥
ui.sanctuary.shop,Shop,Shop,Shop,Shop,Shop,Shop
ui.sanctuary.battle_pass,Pase,Pass,Pass,Pass,Pass,Passe
ui.sanctuary.daily,Diario,Daily,Giornale,Quotidien,Täglich,Diário
ui.sanctuary.passive_collected,+{coins} monedas del santuario,+{coins} coins from sanctuary,+{coins} monete dal santuario,+{coins} pièces du sanctuaire,+{coins} Münzen aus dem Heiligtum,+{coins} moedas do santuário
ui.level_select.title,Selecciona nivel,Select Level,Seleziona livello,Choisir le niveau,Level wählen,Selecionar nível
ui.level_select.chapter,Capítulo {n}: {name},Chapter {n}: {name},Capitolo {n}: {name},Chapitre {n} : {name},Kapitel {n}: {name},Capítulo {n}: {name}
ui.level_select.locked,Completa el anterior,Complete previous,Completa il precedente,Termine le précédent,Schließe das vorherige ab,Completa o anterior
ui.level_select.best,Mejor: {score},Best: {score},Migliore: {score},Meilleur: {score},Beste: {score},Melhor: {score}
ui.level_select.play_again,Volver a jugar,Play again,Rigioca,Rejouer,Nochmal spielen,Jogar novamente
ui.gameplay.exit_sanctuary,← Salir,← Exit,← Esci,← Quitter,← Verlassen,← Sair
level.1.name,Tu primer disparo,Your First Shot,Il primo tiro,Ton premier tir,Dein erster Schuss,Seu primeiro disparo
level.2.name,Aguas tranquilas,Calm Waters,Acque tranquille,Eaux calmes,Ruhige Gewässer,Águas tranquilas
level.3.name,Primeras olas,First Waves,Le prime onde,Premières vagues,Erste Wellen,Primeiras ondas
level.4.name,Corriente suave,Gentle Current,Corrente leggera,Courant doux,Sanfte Strömung,Corrente suave
level.5.name,Ritmo constante,Steady Rhythm,Ritmo costante,Rythme constant,Gleichmäßiger Takt,Ritmo constante
level.6.name,Marea baja,Low Tide,Bassa marea,Marée basse,Ebbe,Maré baixa
level.7.name,Reflejos de coral,Coral Reflections,Riflessi di corallo,Reflets de corail,Korallenschimmer,Reflexos de coral
level.8.name,Ecos del arrecife,Reef Echoes,Echi della barriera,Échos du récif,Riffechos,Ecos do recife
level.9.name,Umbral de la cala,Threshold of the Cove,La soglia della cala,Le seuil de la crique,Schwelle der Bucht,Limiar da enseada
level.10.name,El guardián del arrecife,Guardian of the Reef,Il guardiano della barriera,Le gardien du récif,Wächter des Riffs,O guardião do recife
level.11.name,Burbujas de sal,Salt Bubbles,Bolle di sale,Bulles de sel,Salzblasen,Bolhas de sal
level.12.name,Arena fina,Fine Sand,Sabbia fine,Sable fin,Feiner Sand,Areia fina
level.13.name,El bajío,The Shallows,La secca,Les hauts-fonds,Die Untiefe,O baixio
level.14.name,Luz de superficie,Surface Light,Luce di superficie,Lumière de surface,Licht von oben,Luz da superfície
level.15.name,Cardumen dorado,Golden Shoal,Banco dorato,Banc doré,Goldener Schwarm,Cardume dourado
level.16.name,El arrecife,The Reef,La barriera,Le récif,Das Riff,O recife
level.17.name,Lluvia de burbujas,Bubble Rain,Pioggia di bolle,Pluie de bulles,Blasenregen,Chuva de bolhas
level.18.name,El banco de peces,The Fish Shoal,Il banco di pesci,Le banc de poissons,Der Fischschwarm,O cardume
level.19.name,Corriente cruzada,Crosscurrent,Corrente incrociata,Courant croisé,Querströmung,Corrente cruzada
level.20.name,La barrera de coral,The Coral Barrier,La barriera corallina,La barrière de corail,Die Korallenbarriere,A barreira de coral
level.21.name,Cascada coral,Coral Cascade,Cascata di corallo,Cascade de corail,Korallenkaskade,Cascata de coral
level.22.name,Anémonas dormidas,Sleeping Anemones,Anemoni addormentati,Anémones endormies,Schlafende Anemonen,Anêmonas adormecidas
level.23.name,El laberinto,The Labyrinth,Il labirinto,Le labyrinthe,Das Labyrinth,O labirinto
level.24.name,Corales rotos,Broken Corals,Coralli spezzati,Coraux brisés,Zerbrochene Korallen,Corais partidos
level.25.name,Aguas turbias,Murky Waters,Acque torbide,Eaux troubles,Trübes Wasser,Águas turvas
level.26.name,Espuma de mar,Sea Foam,Schiuma di mare,Écume de mer,Meerschaum,Espuma do mar
level.27.name,Burbuja gigante,Giant Bubble,Bolla gigante,Bulle géante,Riesenblase,Bolha gigante
level.28.name,El remolino,The Whirlpool,Il vortice,Le tourbillon,Der Strudel,O redemoinho
level.29.name,La tormenta,The Storm,La tempesta,La tempête,Der Sturm,A tempestade
level.30.name,Jefe del abismo,Lord of the Abyss,Il signore dell'abisso,Le maître de l'abîme,Herr des Abgrunds,Senhor do abismo
level.31.name,Resaca,Undertow,Risacca,Ressac,Sog,Ressaca
level.32.name,Nido de erizos,Urchin Nest,Nido di ricci,Nid d'oursins,Seeigelnest,Ninho de ouriços
level.33.name,Sombras bajo el agua,Shadows Below,Ombre sott'acqua,Ombres sous l'eau,Schatten im Wasser,Sombras sob a água
level.34.name,Perlas dispersas,Scattered Pearls,Perle sparse,Perles éparses,Verstreute Perlen,Pérolas dispersas
level.35.name,El pasaje angosto,The Narrow Pass,Il passaggio stretto,Le passage étroit,Der enge Pfad,A passagem estreita
level.36.name,Marea creciente,Rising Tide,Marea crescente,Marée montante,Steigende Flut,Maré cheia
level.37.name,Coral quebrado,Cracked Coral,Corallo incrinato,Corail fissuré,Rissige Koralle,Coral rachado
level.38.name,Ecos profundos,Deep Echoes,Echi profondi,Échos profonds,Tiefe Echos,Ecos profundos
level.39.name,La grieta,The Crevice,La fenditura,La crevasse,Der Spalt,A fenda
level.40.name,El coloso de coral,The Coral Colossus,Il colosso di corallo,Le colosse de corail,Der Korallenkoloss,O colosso de coral
level.41.name,Agua fría,Cold Water,Acqua fredda,Eau froide,Kaltes Wasser,Água fria
level.42.name,Rastro de burbujas,Bubble Trail,Scia di bolle,Traînée de bulles,Blasenspur,Rastro de bolhas
level.43.name,El cardumen perdido,The Lost Shoal,Il banco perduto,Le banc perdu,Der verlorene Schwarm,O cardume perdido
level.44.name,Corriente inversa,Reverse Current,Corrente inversa,Courant inverse,Gegenströmung,Corrente inversa
level.45.name,Algas flotantes,Drifting Kelp,Alghe alla deriva,Algues à la dérive,Treibender Tang,Algas à deriva
level.46.name,Roca partida,Split Rock,Roccia spaccata,Roche fendue,Gespaltener Fels,Rocha partida
level.47.name,Silencio marino,Sea Silence,Silenzio marino,Silence marin,Stille der See,Silêncio do mar
level.48.name,El descenso,The Descent,La discesa,La descente,Der Abstieg,A descida
level.49.name,Última luz,Last Light,Ultima luce,Dernière lueur,Letztes Licht,Última luz
level.50.name,La caverna sellada,The Sealed Cavern,La caverna sigillata,La caverne scellée,Die versiegelte Höhle,A caverna selada
level.51.name,Fondo de arena,Sandy Bottom,Fondo di sabbia,Fond de sable,Sandgrund,Fundo de areia
level.52.name,Estrellas de mar,Starfish,Stelle marine,Étoiles de mer,Seesterne,Estrelas-do-mar
level.53.name,Agua quieta,Still Water,Acqua ferma,Eau dormante,Stilles Wasser,Água parada
level.54.name,Túnel sumergido,Sunken Tunnel,Tunnel sommerso,Tunnel submergé,Versunkener Tunnel,Túnel submerso
level.55.name,Restos del naufragio,Shipwreck Remains,Resti del naufragio,Restes du naufrage,Wrackreste,Restos do naufrágio
level.56.name,Corriente helada,Frozen Current,Corrente gelata,Courant glacé,Eisige Strömung,Corrente gelada
level.57.name,La cornisa,The Ledge,La cornice,La corniche,Der Sims,A saliência
level.58.name,Al borde,On the Edge,Sull'orlo,Au bord du vide,Am Abgrund,À beira
level.59.name,Puerta de Coralia,Gate of Coralia,La porta di Coralia,La porte de Coralia,Tor von Coralia,Portal de Coralia
level.60.name,El corazón de Coralia,The Heart of Coralia,Il cuore di Coralia,Le cœur de Coralia,Das Herz von Coralia,O coração de Coralia
level.61.name,Primeras anémonas,First Anemones,Le prime anemoni,Premières anémones,Erste Anemonen,Primeiras anêmonas
level.62.name,Pétalos de mar,Sea Petals,Petali di mare,Pétales de mer,Meeresblüten,Pétalas do mar
level.63.name,Jardín despierto,The Garden Awakes,Il giardino si sveglia,Le jardin s'éveille,Der Garten erwacht,O jardim desperta
level.64.name,Colores vivos,Vivid Colors,Colori vividi,Couleurs vives,Leuchtende Farben,Cores vivas
level.65.name,Danza lenta,Slow Dance,Danza lenta,Danse lente,Langsamer Tanz,Dança lenta
level.66.name,Tentáculos suaves,Soft Tentacles,Tentacoli morbidi,Tentacules doux,Weiche Tentakel,Tentáculos macios
level.67.name,Brisa submarina,Underwater Breeze,Brezza sottomarina,Brise sous-marine,Unterwasserbrise,Brisa submarina
level.68.name,Claro de anémonas,Anemone Clearing,Radura di anemoni,Clairière d'anémones,Anemonenlichtung,Clareira de anêmonas
level.69.name,Sendero florido,Flowered Path,Sentiero fiorito,Sentier fleuri,Blumenpfad,Trilha florida
level.70.name,La anémona reina,The Anemone Queen,La regina degli anemoni,La reine des anémones,Die Anemonenkönigin,A rainha das anêmonas
level.71.name,Polen de mar,Sea Pollen,Polline di mare,Pollen marin,Meerespollen,Pólen do mar
level.72.name,Raíces blandas,Soft Roots,Radici morbide,Racines souples,Weiche Wurzeln,Raízes macias
level.73.name,El vivero,The Nursery,Il vivaio,La pépinière,Die Baumschule,O viveiro
level.74.name,Espirales verdes,Green Spirals,Spirali verdi,Spirales vertes,Grüne Spiralen,Espirais verdes
level.75.name,Aguas templadas,Warm Waters,Acque tiepide,Eaux tièdes,Laues Wasser,Águas mornas
level.76.name,Follaje denso,Dense Foliage,Fogliame fitto,Feuillage dense,Dichtes Laub,Folhagem densa
level.77.name,Refugio de peces,Fish Shelter,Rifugio dei pesci,Refuge des poissons,Fischversteck,Refúgio dos peixes
level.78.name,Corriente tibia,Mild Current,Corrente mite,Courant tiède,Milde Strömung,Corrente morna
level.79.name,El claro central,The Central Glade,La radura centrale,La clairière centrale,Die Mittellichtung,A clareira central
level.80.name,El jardinero del fondo,The Deep Gardener,Il giardiniere del fondo,Le jardinier des fonds,Der Gärtner der Tiefe,O jardineiro do fundo
level.81.name,Ramas blandas,Soft Branches,Rami morbidi,Branches molles,Weiche Zweige,Ramos macios
level.82.name,Sombra de hojas,Leaf Shadow,Ombra di foglie,Ombre des feuilles,Blattschatten,Sombra das folhas
level.83.name,Néctar salado,Salted Nectar,Nettare salato,Nectar salé,Salziger Nektar,Néctar salgado
level.84.name,Enredadera marina,Sea Vine,Rampicante marino,Liane marine,Meeresranke,Trepadeira marinha
level.85.name,Bancos de algas,Kelp Beds,Distese di alghe,Bancs d'algues,Tangbänke,Bancos de algas
level.86.name,Luz filtrada,Filtered Light,Luce filtrata,Lumière filtrée,Gefiltertes Licht,Luz filtrada
level.87.name,El invernadero,The Greenhouse,La serra,La serre,Das Gewächshaus,A estufa
level.88.name,Flores cerradas,Closed Flowers,Fiori chiusi,Fleurs closes,Geschlossene Blüten,Flores fechadas
level.89.name,Umbral del jardín,Garden Threshold,Soglia del giardino,Seuil du jardin,Schwelle des Gartens,Limiar do jardim
level.90.name,La flor que no duerme,The Flower That Never Sleeps,Il fiore che non dorme,La fleur qui ne dort pas,Die Blume ohne Schlaf,A flor que não dorme
level.91.name,Semillas flotantes,Floating Seeds,Semi galleggianti,Graines flottantes,Treibende Samen,Sementes flutuantes
level.92.name,Brotes nuevos,New Shoots,Germogli nuovi,Nouvelles pousses,Neue Triebe,Brotos novos
level.93.name,Camino de espinas,Path of Thorns,Cammino di spine,Chemin d'épines,Dornenpfad,Caminho de espinhos
level.94.name,Anémonas rojas,Red Anemones,Anemoni rossi,Anémones rouges,Rote Anemonen,Anêmonas vermelhas
level.95.name,El estanque quieto,The Quiet Pool,Lo stagno quieto,Le bassin tranquille,Der stille Teich,O lago quieto
level.96.name,Marea de pétalos,Tide of Petals,Marea di petali,Marée de pétales,Blütenflut,Maré de pétalas
level.97.name,Nudo de raíces,Knot of Roots,Nodo di radici,Nœud de racines,Wurzelknoten,Nó de raízes
level.98.name,Jardín torcido,Twisted Garden,Giardino contorto,Jardin tordu,Verdrehter Garten,Jardim retorcido
level.99.name,Última flor,The Last Flower,L'ultimo fiore,La dernière fleur,Die letzte Blüte,A última flor
level.100.name,El guardián del jardín,Guardian of the Garden,Il guardiano del giardino,Le gardien du jardin,Wächter des Gartens,O guardião do jardim
level.101.name,Savia marina,Sea Sap,Linfa marina,Sève marine,Meeressaft,Seiva marinha
level.102.name,Espinas ocultas,Hidden Thorns,Spine nascoste,Épines cachées,Verborgene Dornen,Espinhos ocultos
level.103.name,El seto,The Hedge,La siepe,La haie,Die Hecke,A cerca viva
level.104.name,Rocío de sal,Salt Dew,Rugiada salata,Rosée salée,Salziger Tau,Orvalho salgado
level.105.name,Anémonas negras,Black Anemones,Anemoni neri,Anémones noires,Schwarze Anemonen,Anêmonas negras
level.106.name,Terreno hostil,Hostile Ground,Terreno ostile,Terrain hostile,Feindlicher Grund,Terreno hostil
level.107.name,Maleza densa,Thick Undergrowth,Sottobosco fitto,Sous-bois dense,Dichtes Gestrüpp,Mato denso
level.108.name,El pasaje verde,The Green Passage,Il passaggio verde,Le passage vert,Der grüne Gang,A passagem verde
level.109.name,Salida del jardín,Leaving the Garden,Uscita dal giardino,Sortie du jardin,Ausgang des Gartens,Saída do jardim
level.110.name,La raíz profunda,The Deep Root,La radice profonda,La racine profonde,Die tiefe Wurzel,A raiz profunda
level.111.name,Tierra removida,Turned Earth,Terra smossa,Terre remuée,Aufgewühlte Erde,Terra revolvida
level.112.name,Aguas espesas,Thick Waters,Acque dense,Eaux épaisses,Dickes Wasser,Águas espessas
level.113.name,Jardín marchito,Withered Garden,Giardino appassito,Jardin fané,Welker Garten,Jardim murcho
level.114.name,Último brote,The Last Bud,L'ultimo germoglio,Le dernier bourgeon,Die letzte Knospe,O último broto
level.115.name,Sombra sobre el jardín,Shadow Over the Garden,Ombra sul giardino,Ombre sur le jardin,Schatten über dem Garten,Sombra sobre o jardim
level.116.name,El cerco,The Fence,Il recinto,L'enclos,Die Umzäunung,O cercado
level.117.name,Nudo final,Final Knot,Nodo finale,Nœud final,Letzter Knoten,Nó final
level.118.name,Puerta de anémonas,Gate of Anemones,Porta di anemoni,Porte des anémones,Tor der Anemonen,Portal das anêmonas
level.119.name,Antes del descenso,Before the Descent,Prima della discesa,Avant la descente,Vor dem Abstieg,Antes da descida
level.120.name,El fin del jardín,The End of the Garden,La fine del giardino,La fin du jardin,Das Ende des Gartens,O fim do jardim
level.121.name,Primer descenso,First Descent,Prima discesa,Première descente,Erster Abstieg,Primeira descida
level.122.name,Agua sin luz,Lightless Water,Acqua senza luce,Eau sans lumière,Wasser ohne Licht,Água sem luz
level.123.name,Presión creciente,Rising Pressure,Pressione crescente,Pression croissante,Wachsender Druck,Pressão crescente
level.124.name,Ecos lejanos,Distant Echoes,Echi lontani,Échos lointains,Ferne Echos,Ecos distantes
level.125.name,Fondo oscuro,Dark Seabed,Fondale scuro,Fond obscur,Dunkler Meeresgrund,Fundo escuro
level.126.name,Corriente fría,Cold Current,Corrente fredda,Courant froid,Kalte Strömung,Corrente fria
level.127.name,Siluetas,Silhouettes,Sagome,Silhouettes,Silhouetten,Silhuetas
level.128.name,Sin superficie,No Surface,Nessuna superficie,Plus de surface,Keine Oberfläche,Sem superfície
level.129.name,El vacío azul,The Blue Void,Il vuoto blu,Le vide bleu,Die blaue Leere,O vazio azul
level.130.name,El centinela del fondo,Sentinel of the Deep,La sentinella del fondo,La sentinelle des fonds,Wächter der Tiefe,Sentinela do fundo
level.131.name,Luces en la nada,Lights in the Void,Luci nel nulla,Lueurs dans le vide,Lichter im Nichts,Luzes no nada
level.132.name,Grietas abiertas,Open Fissures,Fessure aperte,Fissures ouvertes,Offene Spalten,Fendas abertas
level.133.name,Cañón submarino,Undersea Canyon,Canyon sottomarino,Canyon sous-marin,Unterseeischer Canyon,Cânion submarino
level.134.name,Restos antiguos,Ancient Remains,Resti antichi,Vestiges anciens,Alte Überreste,Restos antigos
level.135.name,Nada alrededor,Nothing Around,Nulla intorno,Rien alentour,Nichts ringsum,Nada ao redor
level.136.name,Frío en los huesos,Cold to the Bone,Freddo nelle ossa,Le froid jusqu'aux os,Kälte bis in die Knochen,Frio nos ossos
